user_region,friend_region,scaled_sci,origin_area,origin_ec,origin_bias,origin_population,origin_clustering,origin_support_ratio,origin_volunteering,origin_civic_orgs,destination_area,destination_ec,destination_bias,destination_population,destination_clustering,destination_support_ratio,destination_volunteering,destination_civic_orgs,log_sci,tie_type
11201,11220,78839,Brooklyn,0.88002002,0.52332997,62823,0.076760001,0.61378002,0.07147,0.02798,Brooklyn,0.60855001,0.49384001,95643,0.077079996,0.82143003,0.041839998,0.0056500002,11.2751757612667,Brooklyn-Brooklyn
11201,11221,217342,Brooklyn,0.88002002,0.52332997,62823,0.076760001,0.61378002,0.07147,0.02798,Brooklyn,0.75072998,0.48818001,83835,0.077660002,0.73904997,0.071910001,0.0048500001,12.2892320297791,Brooklyn-Brooklyn
11201,11222,326995,Brooklyn,0.88002002,0.52332997,62823,0.076760001,0.61378002,0.07147,0.02798,Brooklyn,1.10111,0.24015,36492,0.075759999,0.67514002,0.080239996,0.00538,12.6977032173887,Brooklyn-Brooklyn
11201,11223,73123,Brooklyn,0.88002002,0.52332997,62823,0.076760001,0.61378002,0.07147,0.02798,Brooklyn,0.82950997,0.23672999,81789,0.097560003,0.91034001,0.037160002,0.0057600001,11.199911909227,Brooklyn-Brooklyn
11201,11224,139760,Brooklyn,0.88002002,0.52332997,62823,0.076760001,0.61378002,0.07147,0.02798,Brooklyn,0.77038002,0.32268,46707,0.075709999,0.94862002,0.032559998,0.0054500001,11.8476890999054,Brooklyn-Brooklyn
11201,11225,259218,Brooklyn,0.88002002,0.52332997,62823,0.076760001,0.61378002,0.07147,0.02798,Brooklyn,0.87625003,0.37074,58882,0.07824,0.77099001,0.088009998,0.00997,12.4654285432429,Brooklyn-Brooklyn
11201,11226,184559,Brooklyn,0.88002002,0.52332997,62823,0.076760001,0.61378002,0.07147,0.02798,Brooklyn,0.75531,0.31290001,100277,0.072329998,0.82736999,0.066229999,0.00391,12.1257298928476,Brooklyn-Brooklyn
11201,11228,97658,Brooklyn,0.88002002,0.52332997,62823,0.076760001,0.61378002,0.07147,0.02798,Brooklyn,0.91706002,0.0029500001,44994,0.081720002,0.87285,0.050670002,0.0072400002,11.4892370979564,Brooklyn-Brooklyn
11201,11229,86529,Brooklyn,0.88002002,0.52332997,62823,0.076760001,0.61378002,0.07147,0.02798,Brooklyn,0.92666,0.16892,83615,0.088940002,0.90487999,0.043930002,0.00397,11.3682464536008,Brooklyn-Brooklyn
11201,11230,84802,Brooklyn,0.88002002,0.52332997,62823,0.076760001,0.61378002,0.07147,0.02798,Brooklyn,0.88208002,0.23476,89075,0.092660002,0.85626,0.059220001,0.0087799998,11.3480861985127,Brooklyn-Brooklyn
11201,11231,555933,Brooklyn,0.88002002,0.52332997,62823,0.076760001,0.61378002,0.07147,0.02798,Brooklyn,0.79536998,0.53599,37845,0.07158,0.83582002,0.089230001,0.0096199997,13.2284048611508,Brooklyn-Brooklyn
11201,11232,134901,Brooklyn,0.88002002,0.52332997,62823,0.076760001,0.61378002,0.07147,0.02798,Brooklyn,0.62026,0.54479003,27602,0.071610004,0.66487998,0.063560002,0.01567,11.8123038678828,Brooklyn-Brooklyn
11201,11233,254119,Brooklyn,0.88002002,0.52332997,62823,0.076760001,0.61378002,0.07147,0.02798,Brooklyn,0.74489999,0.34343001,76819,0.069009997,0.81471002,0.04851,0.0057199998,12.4455618753805,Brooklyn-Brooklyn
11201,11234,132820,Brooklyn,0.88002002,0.52332997,62823,0.076760001,0.61378002,0.07147,0.02798,Brooklyn,0.8951,0.06095,95666,0.080169998,0.90807998,0.038860001,0.0076000001,11.796757636053,Brooklyn-Brooklyn
11201,11235,57096,Brooklyn,0.88002002,0.52332997,62823,0.076760001,0.61378002,0.07147,0.02798,Brooklyn,0.94300997,0.18359999,78128,0.082489997,0.91005999,0.043340001,0.0074200002,10.9525068548593,Brooklyn-Brooklyn
11201,11236,169481,Brooklyn,0.88002002,0.52332997,62823,0.076760001,0.61378002,0.07147,0.02798,Brooklyn,0.75795001,0.00136,100331,0.074110001,0.88485998,0.02307,0.0054199998,12.0405020054733,Brooklyn-Brooklyn
11201,11237,125969,Brooklyn,0.88002002,0.52332997,62823,0.076760001,0.61378002,0.07147,0.02798,Brooklyn,0.65065002,0.61839002,49310,0.081160001,0.72342002,0.067160003,0.0021899999,11.7437990623464,Brooklyn-Brooklyn
11201,11238,477935,Brooklyn,0.88002002,0.52332997,62823,0.076760001,0.61378002,0.07147,0.02798,Brooklyn,0.90987003,0.50184,54540,0.07254,0.61817998,0.11198,0.0025599999,13.077232111296,Brooklyn-Brooklyn
11203,10026,173247,Brooklyn,0.77604002,0.059870001,75451,0.074940003,0.83911997,0.03118,0.0084499996,Harlem,0.74800003,0.39761999,39363,0.071170002,0.79121,0.070969999,0.0092099998,12.062479372974,Brooklyn-Harlem
