zip,county,num_below_p50,pop2018,ec_zip,ec_se_zip,nbhd_ec_zip,ec_grp_mem_zip,ec_high_zip,ec_high_se_zip,nbhd_ec_high_zip,ec_grp_mem_high_zip,exposure_grp_mem_zip,exposure_grp_mem_high_zip,nbhd_exposure_zip,bias_grp_mem_zip,bias_grp_mem_high_zip,nbhd_bias_zip,nbhd_bias_high_zip,clustering_zip,support_ratio_zip,volunteering_rate_zip,civic_organizations_zip
10026,36061,7478.345199584961,39363,0.74800003,0.01385,0.84178001,0.94613999,1.48654,0.01259,1.3101,1.60895,1.1424201,1.4989901,1.3974299,0.1718,-0.073360004,0.39761999,0.062490001,0.071170002,0.79121,0.070969999,0.0092099998
10027,36061,10763.87120437622,64548,0.78485,0.01246,0.82611001,0.88027,1.48952,0.01209,1.40626,1.58386,1.16011,1.49726,1.34563,0.24122,-0.057840001,0.38608,-0.045060001,0.076480001,0.80201,0.077590004,0.021989999
10029,36061,17443.23867797852,79597,0.88010001,0.01027,0.4023,0.93404001,1.49744,0.01264,0.95156997,1.54458,1.0163701,1.45733,0.71275997,0.081,-0.059870001,0.43557999,-0.33504999,0.073399998,0.87133002,0.0473,0.0057399999
10030,36061,6359.628646850586,29882,0.67477,0.01288,0.77508003,0.82170999,1.2948101,0.01423,1.11449,1.44497,1.02555,1.35466,1.15886,0.19876,-0.066660002,0.33116999,0.038290001,0.070330001,0.82393998,0.053180002,0.016349999
10031,36061,13826.60578918457,60254,0.74668002,0.01363,0.85824001,0.97618002,1.44569,0.01134,1.48853,1.54027,1.1551501,1.4391299,1.25217,0.15493,-0.070280001,0.31459999,-0.18876,0.071039997,0.78671998,0.069849998,0.00654
10035,36061,8149.67253112793,35743,0.72060001,0.01295,0.57871997,0.84390002,1.35018,0.01429,0.86533999,1.45693,1.0245301,1.38203,0.96173,0.1763,-0.054200001,0.39825001,0.10023,0.068190001,0.82261997,0.046080001,0.01853
10037,36061,2734.520446777344,21139,0.77882999,0.01425,0.64241999,0.87645,1.30941,0.01541,1.00008,1.4264899,1.0618401,1.35893,1.10427,0.17459001,-0.049710002,0.41824001,0.094350003,0.067309998,0.81145,0.053289998,1.9000001e-4
10039,36061,6037.072923183441,27726,0.70666999,0.01182,0.66820002,0.84829003,1.24165,0.01582,0.87777001,1.3600301,0.95596999,1.29132,0.87515002,0.11264,-0.053210001,0.23648,-0.0029899999,0.067460001,0.84428,0.03661,6.0999999e-4
