tract,state,county,study_region,mean_commute_time,short_commute_share,job_density_2013,jobs_within_5mi,highpay_jobs_5mi,pop_density_2010,rent_2bed_2015,med_income_2016
00000063800,36,47,Brooklyn Baseline,42.077862,0.15517241,1000,340104,126814,28222.221,1700,81667
00000064000,36,47,Brooklyn Baseline,43.988197,0.11940298,1627.1187,376399,141162,27101.695,708,112765
00000064200,36,47,Brooklyn Baseline,41.706146,0.11234705,18879.121,385268,145216,27670.33,1427,60682
00000064400,36,47,Brooklyn Baseline,40.337471,0.27168143,3597.4026,388631,146082,32831.168,1133,86979
00000064600,36,47,Brooklyn Baseline,50.592636,0.21305418,4390.625,394683,148610,34203.125,1415,94271
00000064800,36,47,Brooklyn Baseline,47.940388,0.2496749,1237.2881,395873,149686,32966.102,1554,72143
00000065000,36,47,Brooklyn Baseline,47.532726,0.053835802,15937.499,398296,151308,21703.123,1363,53600
00000065200,36,47,Brooklyn Baseline,42.665291,0.11278196,5119.4028,351699,132455,18388.059,NA,86250
00000065400,36,47,Brooklyn Baseline,40.637856,0.13730255,525.42371,348540,131075,27237.287,NA,95400
00000065600,36,47,Brooklyn Baseline,41.700348,0.085882351,1559.322,358856,134922,28949.152,NA,81827
00000065800,36,47,Brooklyn Baseline,39.754604,0.13314448,1542.3729,327673,123008,29864.406,NA,78882
00000066000,36,47,Brooklyn Baseline,45.506134,0.14626865,372.88135,321904,119836,30050.848,NA,97935
00000066200,36,47,Brooklyn Baseline,46.629032,0.16724738,9269.6631,314404,115831,15853.933,1449,76016
00000066600,36,47,Brooklyn Baseline,NA,NA,528.88623,187485,65362,0,NA,NA
00000067000,36,47,Brooklyn Baseline,46.210911,0.090163931,2475,326985,122067,33500,1477,76250
00000067200,36,47,Brooklyn Baseline,47.964836,0.27095991,2835.8208,368227,138531,21223.881,1426,68090
00000067400,36,47,Brooklyn Baseline,53.745522,0.036091547,2712.3289,380095,143611,26904.109,NA,71652
00000067600,36,47,Brooklyn Baseline,48.402687,0.13007285,4800,394661,148415,27616.668,1607,82872
00000067800,36,47,Brooklyn Baseline,48.281197,0.03660221,406.24997,393809,148009,41562.496,1507,85234
00000068000,36,47,Brooklyn Baseline,42.812233,0.01055807,2938.4617,366721,137387,27830.77,NA,70938
00000068200,36,47,Brooklyn Baseline,43.017765,0.07563588,1346.1538,348567,130621,31179.486,1388,92632
00000068600,36,47,Brooklyn Baseline,41.053921,0.280083,2192.9824,320841,119997,26894.736,1454,51694
00000068800,36,47,Brooklyn Baseline,40.915001,0.052369077,1655.7377,339106,126750,26459.016,1313,88125
00000069000,36,47,Brooklyn Baseline,46.174164,0.11581569,7164.1787,355161,133831,26731.342,1672,79139
00000069200,36,47,Brooklyn Baseline,51.905853,0.057040997,957.14288,365737,136935,34171.43,NA,101250
00000069601,36,47,Brooklyn Baseline,39.726986,0.081318684,3545.4546,361972,135717,21477.273,1715,55762
00000069602,36,47,Brooklyn Baseline,39.726986,0.21533258,1492.4812,327745,124079,22537.594,1361,86362
00000069800,36,47,Brooklyn Baseline,38.682064,0.26691043,8507.7715,310089,114390,6616.5801,1479,77500
00000070000,36,47,Brooklyn Baseline,40.119553,0.20363165,1012.8205,297466,107439,21833.332,1677,55380
00000070201,36,47,Brooklyn Baseline,41.166779,0.12152778,990.36145,276987,100118,15838.555,1636,72750
00000070202,36,47,Brooklyn Baseline,45.603306,0.24324325,147.6143,153721,52277,18.389662,NA,NA
00000070203,36,47,Brooklyn Baseline,NA,NA,0,153105,62614,0,NA,NA
00000070600,36,47,Brooklyn Baseline,41.690544,0.1659292,934.06592,251001,93581,4238.6182,NA,88837
00000072000,36,47,Brooklyn Baseline,57.316582,0.088495575,6983.6064,397161,149279,35524.59,1555,64659
00000072200,36,47,Brooklyn Baseline,49.727947,0.069532238,3393.9395,436057,167978,26818.182,1308,65305
00000072400,36,47,Brooklyn Baseline,47.115993,0.033365108,2472.9729,477002,190300,23716.217,1429,76500
00000072600,36,47,Brooklyn Baseline,46.537094,0.040062845,4962.2642,501538,202841,19745.283,1382,82024
00000072800,36,47,Brooklyn Baseline,49.832909,0.065947242,1268.2926,433766,166435,38939.023,1125,61481
00000073000,36,47,Brooklyn Baseline,43.896343,0.03142627,873.23938,424212,163541,27873.238,1431,89219
00000073200,36,47,Brooklyn Baseline,47.187721,0.090538338,145.16129,450357,174797,33806.453,1119,73580
00000073400,36,47,Brooklyn Baseline,53,0.044198897,1534.4828,475037,192982,32568.967,1240,83542
00000073600,36,47,Brooklyn Baseline,53.154861,0.062551439,2492.7537,426208,165289,48811.594,1506,60353
00000073800,36,47,Brooklyn Baseline,50.549957,0.050425272,10085.714,419639,159656,46071.43,NA,53571
00000074000,36,47,Brooklyn Baseline,50.493942,0.039974619,27682.539,477035,194213,56047.617,1141,58646
00000074200,36,47,Brooklyn Baseline,48.338272,0.083885208,3850.7461,474774,192312,49134.328,1214,77870
00000074400,36,47,Brooklyn Baseline,38.64048,0.21265142,772.72729,429303,165728,37757.574,NA,103611
00000074600,36,47,Brooklyn Baseline,47.392269,0.22946176,11064.103,406766,154335,25679.486,1417,85186
00000074800,36,47,Brooklyn Baseline,45.552704,0.03666997,8352.9404,435086,168329,29588.234,1538,72250
00000075000,36,47,Brooklyn Baseline,41.654751,0.14792299,4268.6567,473866,191985,45208.953,1333,52731
00000075200,36,47,Brooklyn Baseline,43.728889,0.026490066,2402.9851,543435,246614,16865.672,NA,125750
00000075400,36,47,Brooklyn Baseline,42.62693,0.1329588,1298.5074,438064,170068,22208.955,NA,117885
00000075600,36,47,Brooklyn Baseline,38.406075,0.069482289,2671.6418,401877,151787,29746.268,1326,83026
00000075800,36,47,Brooklyn Baseline,40.647457,0.075443789,772.15186,406235,153850,22987.34,1614,84318
00000076000,36,47,Brooklyn Baseline,43.328491,0.1038674,2428.5715,456169,184761,39657.145,1383,42955
00000076200,36,47,Brooklyn Baseline,49.419022,0.081813447,2095.8904000000002,540340,244837,58013.699,1538,44250
00000076400,36,47,Brooklyn Baseline,53.635101,0.12912735,3596.7742,567031,254791,56241.938,1321,54636
00000076600,36,47,Brooklyn Baseline,49.907616,0.10009911,749.99994,574046,257133,64406.246,1484,59653
00000076800,36,47,Brooklyn Baseline,44.116943,0.16453901,13410.257,416837,161890,29119.658,1440,42500
00000077000,36,47,Brooklyn Baseline,47.299637,0.1277533,1936.5079,597279,267087,43206.348,1481,48611
00000077200,36,47,Brooklyn Baseline,48.151001,0.086206898,2923.0769,572304,256117,21756.41,1199,60518
00000077400,36,47,Brooklyn Baseline,51.777546,0.081648521,24631.578,566078,254891,50543.859,1428,57022
00000077600,36,47,Brooklyn Baseline,54.486736,0.042319749,3138.8889,564799,254489,52861.113,1241,57000
00000078000,36,47,Brooklyn Baseline,47.862293,0.034732271,593.75,586357,261174,32687.498,NA,84159
00000078200,36,47,Brooklyn Baseline,54.483505,0.044827588,2430.7693,602070,267279,59446.156,1195,56618
00000078400,36,47,Brooklyn Baseline,53.279816,0.11829436,584.61542,585024,261162,36123.078,1594,79000
00000078600,36,47,Brooklyn Baseline,50.466549,0.063650712,8196.9697,584060,259947,64484.848,1227,45114
00000078800,36,47,Brooklyn Baseline,50.470299,0.029069768,4245.9014,616245,274761,56098.359,NA,33301
00000079000,36,47,Brooklyn Baseline,50.149517,0.083394296,3732.3943,626095,276552,71746.477,NA,41443
00000079200,36,47,Brooklyn Baseline,53.198441,0.047120418,6488.0952,730493,339755,52047.621,1230,36982
00000079400,36,47,Brooklyn Baseline,50.451008,0.070129871,12046.511,801187,385743,21674.418,1366,36237
00000079601,36,47,Brooklyn Baseline,51.866829,0.044671942,2279.0696,1039120,545212,102627.91,1341,53289
00000079602,36,47,Brooklyn Baseline,51.866825,0.029917726,19634.615,911515,462745,92576.922,1196,40000
00000079801,36,47,Brooklyn Baseline,51.811398,0.046912115,1400,1104787,588983,60740,1193,71272
00000079802,36,47,Brooklyn Baseline,51.811401,0.041830532,5390.2437,1076484,572746,132951.22,1342,60696
00000080000,36,47,Brooklyn Baseline,47.476189,0.011931818,970.14923,1072467,565680,52044.773,1326,67981
00000080200,36,47,Brooklyn Baseline,52.939049,0.076169752,3138.8889,983085,507832,59777.781,1261,45030
00000080400,36,47,Brooklyn Baseline,51.590874,0.030420711,3424.6575,968190,499947,44520.547,1234,32899
00000080600,36,47,Brooklyn Baseline,48.2616,0.056338027,3359.3748,928343,471796,52906.246,1251,39536
00000080800,36,47,Brooklyn Baseline,NA,0,9725.8066,809825,391788,9653.2256,NA,9740
00000081000,36,47,Brooklyn Baseline,52.523426,0.073122531,714.28571,920085,466991,36507.938,1292,43229
00000081400,36,47,Brooklyn Baseline,48.067425,0.026279392,1454.5454,696293,315931,39924.242,1246,40705
00000081600,36,47,Brooklyn Baseline,46.540253,0.11604714,92637.68,804808,387348,40449.277,1193,41071
00000081800,36,47,Brooklyn Baseline,48.977039,0.1031941,3032.7869,810234,389927,74606.555,1214,47378
00000082000,36,47,Brooklyn Baseline,49.831882,0.03382187,3596.4912,822224,395140,92649.125,1193,36921
00000082200,36,47,Brooklyn Baseline,49.599266,0.062830925,4409.0908,862967,426654,110303.03,1311,41118
00000082400,36,47,Brooklyn Baseline,52.062916,0.089877442,3192.7712,804910,387768,56987.953,NA,43155
00000082600,36,47,Brooklyn Baseline,53.359356,0.038007379,1233.7662,641952,283013,71597.406,1182,44063
00000082800,36,47,Brooklyn Baseline,49.785389,0.0346651,3850,627961,277451,63566.668,1044,49632
00000083000,36,47,Brooklyn Baseline,55.333778,0.064504236,2282.0513,628377,277753,76884.617,1313,50606
00000083200,36,47,Brooklyn Baseline,53.053116,0.068131872,696.42853,630830,278780,40875,1392,63708
00000083400,36,47,Brooklyn Baseline,51.958218,0,1387.7551,622571,277661,34714.285,1133,56726
00000083600,36,47,Brooklyn Baseline,47.599998,0.02631579,6887.5,593077,264343,24112.5,1338,67454
00000083800,36,47,Brooklyn Baseline,53.001465,0.10111524,2343.75,607948,268927,34203.125,1315,53438
00000084000,36,47,Brooklyn Baseline,48.864777,0.020192308,4469.6968,604523,267848,36545.453,1103,51534
00000084600,36,47,Brooklyn Baseline,51.818001,0.081863977,3749.9998,601144,266539,30671.873,1211,53594
00000084800,36,47,Brooklyn Baseline,47.056522,0.070321813,2905.6604,632976,279710,33018.867,1698,54120
00000085000,36,47,Brooklyn Baseline,49.668339,0.062397372,1857.1428,641160,283081,24535.713,NA,70208
00000085200,36,47,Brooklyn Baseline,NA,NA,0,647997,285838,187.09677,NA,NA
00000085400,36,47,Brooklyn Baseline,49.345356,0.059288539,1100,635630,280911,41040,1223,47763
00000085600,36,47,Brooklyn Baseline,52.726276,0.035026271,1901.6393,682799,305745,59147.539,1296,49657
00000085800,36,47,Brooklyn Baseline,49.28968,0.037037037,1807.6923,649217,286320,46807.691,1282,52344
00000086000,36,47,Brooklyn Baseline,50.771404,0.064516127,2373.1343,640852,282987,51134.328,1265,51333
00000086200,36,47,Brooklyn Baseline,55.910076,0.2108209,3277.7776,636191,282240,55481.48,NA,48750
00000086400,36,47,Brooklyn Baseline,46.482323,0.07558579,1830.5084,634708,282289,37813.559,1293,41538
00000086600,36,47,Brooklyn Baseline,55.128098,0.12012242,500,638505,284235,52483.336,1350,45451
00000086800,36,47,Brooklyn Baseline,56.861546,0.0066469721,6611.9399,650696,289511,47104.477,1263,57850
00000087000,36,47,Brooklyn Baseline,49.350266,0.034761518,1066.6667,654073,290340,53400,1319,35938
00000087200,36,47,Brooklyn Baseline,50.924011,0.059868421,350.8772,680623,305816,50315.789,1311,40965
00000087401,36,47,Brooklyn Baseline,53.896507,0.12820514,3720,822595,398936,62840,1090,29656
00000087600,36,47,Brooklyn Baseline,45.15337,0.1024,3927.2727,810298,392997,31672.727,NA,31712
00000087800,36,47,Brooklyn Baseline,51.752777,0.062008735,37655.172,684232,309748,51827.586,1282,36693
00000088000,36,47,Brooklyn Baseline,50.559818,0.12163265,2857.1428,699278,319622,40900,1065,50302
00000088200,36,47,Brooklyn Baseline,54.132896,0.045854032,743.58972000000006,649931,291477,86410.258,1333,48043
00000088400,36,47,Brooklyn Baseline,52.173801,0.056753188,1492.3077,646645,291232,80553.852,1329,43099
00000088600,36,47,Brooklyn Baseline,54.506207,0.06860321,1043.4783,627308,281034,64159.422,1280,37359
00000088800,36,47,Brooklyn Baseline,50.718445,0.050156739,2753.2468,606570,272836,50948.051,1198,45131
00000089000,36,47,Brooklyn Baseline,52.566223,0.073028676,46385.418,597508,270896,65822.914,1233,29082
00000089200,36,47,Brooklyn Baseline,49.625538,0.018786127,8797.1016,638808,289016,52913.043,1143,20528
00000089400,36,47,Brooklyn Baseline,55.141563,0.031050956,909.09094,611040,280386,51969.695,NA,41269
00000089600,36,47,Brooklyn Baseline,43.946442,0.17225806,706.89655,585787,267299,61137.934,1227,37168
00000089800,36,47,Brooklyn Baseline,47.386036,0.12759644,866.66669,604767,278107,34816.668,1069,40000
00000090000,36,47,Brooklyn Baseline,53.340084,0.047976878,1557.8948,636907,292051,57978.949,NA,25049
00000090200,36,47,Brooklyn Baseline,52.822792,0.077167019,15162.162,633098,289826,46635.133,NA,41250
00000090600,36,47,Brooklyn Baseline,47.900349,0.076673865,4592.1055,628711,285040,60276.316,NA,14500
00000090800,36,47,Brooklyn Baseline,48.167336,0.031518623,3605.2632,623840,287023,35000,384,12052
00000091000,36,47,Brooklyn Baseline,45.940525,0.069428891,2060.9756,574956,261238,68414.633,369,11014
00000091200,36,47,Brooklyn Baseline,47.222496,0.098666668,138.46155,588241,266847,104830.77,548,21747
00000091600,36,47,Brooklyn Baseline,48.250225,0.14434643,2361.4458,573951,262148,52108.438,1060,32610
00000091800,36,47,Brooklyn Baseline,53.427994,0.12452107,2382.7161,549660,248478,34617.285,780,30326
00000092000,36,47,Brooklyn Baseline,55.0751,0.061250001,340.65936,467150,190747,34659.34,NA,39570
00000092200,36,47,Brooklyn Baseline,47.133224,0.11578947,1661.2904,488683,200622,43403.227,NA,39934
00000092400,36,47,Brooklyn Baseline,50.081024,0.10220674,7329.8965,618895,283885,27381.443,1102,36500
